IQ-TREE multicore version 1.6.12 for Mac OS X 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    Ewans-MacBook-Air.local (AVX2, FMA3, 8 GB RAM)
Command: /Applications/iqtree-1.6.12/bin/iqtree -s /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus -o Day0
Seed:    813579 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Apr  9 17:48:52 2024
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus ... Nexus format detected
Alignment has 4 sequences with 29903 columns, 24 distinct patterns
865 parsimony-informative, 9262 singleton sites, 19776 constant sites
       Gap/Ambiguity  Composition  p-value
   1  Day0     0.00%    failed      0.00%
   2  Day12    0.00%    failed      0.00%
   3  Day21    0.00%    failed      0.00%
   4  Day31    0.00%    failed      0.00%
****  TOTAL    0.00%  4 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.005 seconds
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 546 protein models (sample size: 29903) ...
 No. Model         -LnL         df  AIC          AICc         BIC
Total CPU time used: 0.219 sec (0h:0m:0s)
Total wall-clock time used: 0.231 sec (0h:0m:0s)

Analysis results written to: 
  IQ-TREE report:                /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus.iqtree
  Maximum-likelihood tree:       /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus.treefile
  Likelihood distances:          /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus.mldist
  Screen log file:               /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus.log

Date and Time: Tue Apr  9 17:48:58 2024
